original_school_name,original_city,original_county,district_id,district_name,district_type,school_id,school_name,address,city
Northern Michigan University,Marquette,Marquette,,,College,N/A,,,
Northern Michigan University - ROTC,Marquette,Marquette,,,College,N/A,,,
Northern Michigan University Men's basketball,Marquette,Marquette,,,College,N/A,,,
Northern Michigan University Women's Lacrosse,Marquette,Marquette,,,College,N/A,,,
Northwood University,Midland,Midland,,,College,N/A,,,
Oakland University,Rochester,Oakland,,,College,N/A,,,
Olivet College,Olivet,Eaton,,,College,N/A,,,
Saginaw Valley State University,University Center,Saginaw,,,College,N/A,,,
Schoolcraft College,Livonia,Wayne,,,College,N/A,,,
Siena Heights,Adrian,Lenawee,,,College,N/A,,,
Siena Heights University,Adrian,Lenawee,,,College,N/A,,,
Spring Arbor University,Spring Arbor,Jackson,,,College,N/A,,,
The Culinary Institute of Michigan - Port Huron,Port Huron,St. Clair,,,College,N/A,,,
University of Michigan,Ann Arbor,Washtenaw,,,College,N/A,,,
University Of Michigan-Flint,Flint,Genesee,,,College,N/A,,,
Washtenaw Community College,Ann Arbor,Washtenaw,,,College,N/A,,,
Western Michigan University,Kalamazoo,Kalamazoo,,,College,N/A,,,
All Saints Academy,Ironwood,Gogebic,,,Private,N/A,,,
Barry County Christian School,Hastings,Barry,,,Private,N/A,,,
Bright Beginnings,Morrice,Shiawassee,,,Private,N/A,,,
Cardinal Mooney Catholic High School,Marine City,St. Clair,,,Private,N/A,,,
Childtime Learning Center,Lansing,Ingham,,,Private,N/A,,,
Divine Child High School,Dearborn,Wayne,,,Private,N/A,,,
Father Gabriel Richard HS,Ann Arbor,Washtenaw,,,Private,N/A,,,
Father Gabriel Richard HS,Ann Arbor,Washtenaw,,,Private,N/A,,,
Gabriel Richard Catholic High School,Riverview,Wayne,,,Private,N/A,,,
Grand Ledge Transportation ,Grand Ledge,Eaton,,,Private,N/A,,,
Heritage Christian Academy,Kalamazoo,Kalamazoo,,,Private,N/A,,,
Heritage Christian School,Hudsonville,Ottawa,,,Private,N/A,,,
Holy Name Catholic School,Escanaba,Delta,,,Private,N/A,,,
Holy Redeemer Grade School,Detroit,Wayne,,,Private,N/A,,,
Immanuel Lutheran,Macomb,Macomb,,,Private,N/A,,,
Jewish Community Center,Ann Arbor,Washtenaw,,,Private,N/A,,,
Jewish Community Center ECC,Ann Arbor,Washtenaw,,,Private,N/A,,,
Leelanau School,Glen Arbor,Leelanau,,,Private,N/A,,,
Libertas Christian School,Hudsonville,Ottawa,,,Private,N/A,,,
Lutheran Westland High School,Westland,Wayne,,,Private,N/A,,,
Northern Michigan Christian,McBain,Missaukee,,,Private,N/A,,,
Northern Michigan Christian School,McBain,Missaukee,,,Private,N/A,,,
Notre Dame Prep,Pontiac,Oakland,,,Private,N/A,,,
Oceana Christian School,Hart,Oceana,,,Private,N/A,,,
Oceana Christian School,Hart,Oceana,,,Private,N/A,,,
Order of the Fishermen Head Start Chapel Hill,Detroit,Detroit City,,,Private,N/A,,,
Regina High School,Warren,Macomb,,,Private,N/A,,,
St Francis Xavier School,Petoskey,Emmet,,,Private,N/A,,,
St Martha's School,Okemos,Ingham,,,Private,N/A,,,
St Paul Lutheran School,Ann Arbor,Washtenaw,,,Private,N/A,,,
St. Anselm Catholic School,Dearborn Heights,Wayne,,,Private,N/A,,,
St. Anselm Elementary School,Dearborn Heights,Wayne,,,Private,N/A,,,
St. Gerard,Lansing,Eaton,,,Private,N/A,,,
St. Lawrence Catholic School,Utica,Macomb,,,Private,N/A,,,
St. Patrick School,Brighton,Livingston,,,Private,N/A,,,
St. Peter Lutheran School,Macomb,Macomb,,,Private,N/A,,,
State Line Christian School,Temperance,Monroe,,,Private,N/A,,,
Unity Christian High School,Hudsonville,Ottawa,,,Private,N/A,,,
Zion Lutheran,,Bay,,,Private,N/A,,,
Holland Christian High School,Holland,Ottawa,,,Private,N/A,,,
Manistee Catholic Central,Manistee,Manistee,,,Private,N/A,,,
South Christian High School,Byron Center,Kent,,,Private,N/A,,,
University Liggett School,Grosse Pointe Woods,Wayne,,,Private,N/A,,,
Cramtom,Lapeer,Lapeer,,,,N/A,,,
Cramton Elementary,Lapeer,Lapeer,,,,N/A,,,
EMU Childrens Institute,Ypsilanti,Washtenaw,,,,N/A,,,
